,Titre,Description,Détail des conditions,Résumé horaires,Adresse
0,La philo à l'écran HORS-LES-MURS φ J'ai perdu mon corps,"Projection gratuite pour un public collégien, lycéen et adulte. Suivie d'une conversation philosophique guidée",Entrée gratuite sur réservation en ligne indispensable,"Dimanche 28 janvier, 18h00","60 rue du Général Leclerc, Issy-les-Moulineaux"
1,Groupe de parole climat,Un groupe de parole pour parler des enjeux climatiques animé par Julien des Capitalistes Anonymes.,Atelier gratuit sur inscription et adhésion nécessaire pour participer à cet atelier.,"Mercredi 7 février, 18h45",54 rue d'Erevan 92130 Issy-les-Moulineaux
2,5 Hectares,"MERCREDI 03  : 20h30 
VENDREDI 05 : 20h30 
SAMEDI 06     : 18H00  et 21h00  
DIMANCHE 07 : 14h00 - 16h30 et 19h00 
LUNDI 08 : 20h30",,3 - 8 janvier,"11-13, rue Danton 92130 Issy-les-Moulineaux"
3,Soirée Jeux de Société Famille,De 18h30 à 20h30 : soirée jeux tout public à l'ELMA : vive les dragons de bois !,"Entrée libre, gratuite pour les adhérents, 2.20 € pour les non-adhérents","Vendredi 19 janvier, 18h30","15 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
4,Pas de fraise à Noël - ISSY-LES-MOULINEAUX,"Bien manger de saison et sans générer de gaspillage, fais le plein d'idées, en toute convivialité !",Atelier gratuit en accès libre.,"Samedi 16 décembre, 15h00",54 rue d'Erevan
5,Les P'tites Histoires,P'tits Rendez-Vous,Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Samedi 30 décembre, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
6,Atelier peinture en duo,"Partagez un moment créatif unique avec votre enfant (entre 6 ans et 12 ans) lors d'un atelier animé par Muriel, artiste plasticienne.",Atelier payant sur inscription et adhésion nécessaire pour participer à cet atelier.,"Mercredi 22 novembre, 14h00",54 rue d'Erevan 92130 Issy-les-Moulineaux
7,"Parenthèse enchantée, Anaïs Brunet",Exposition.,Entrée libre.,5 décembre 2023 - 3 mars 2024,"2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
8,Concert de l'ensemble néoclassique de Téhéran,Mélodies oubliée de l'Empire Perse,sur inscription,"Mardi 15 mai 2018, 20h00","13 Rue Danton, 92130, Issy les Moulineaux"
9,Le premier anniversaire des Halles d'Issy !,"Venez célébrer l'anniversaire des Halles d'Issy. Pour fêter cela, deux jours de festivités et d'animations gastronomiques sont organisés le vendredi 10 et samedi 11 novembre.",Entrée libre,10 - 12 novembre,1 Rue Rouget de Lisle 92130 Issy-les-Moulineaux
