Adresse,Date Debut,Description,Heure Debut,Titre,Titre + Description
1 Avenue du Bas-Meudon,08/12/2017,"Après celle de la place Madaule, une nouvelle bibliothèque partagée voit le jour au niveau du point d’information situé en haut de l’avenue du Bas-Meudon.",1899-12-30 18:30:00,Ouverture d'une 2e bibliothèque partagée à Issy,"Ouverture d'une 2e bibliothèque partagée à Issy --- Après celle de la place Madaule, une nouvelle bibliothèque partagée voit le jour au niveau du point d’information situé en haut de l’avenue du Bas-Meudon."
1 bd Rodin 92130 Issy-les-Moulineaux,04/02/2017,Grand prix de France,1899-12-30 09:00:00,Football de table (Subbuteo),Football de table (Subbuteo) --- Grand prix de France
1 bd Rodin 92130 Issy-les-Moulineaux,14/09/2019,Issy Sakura Academy vous propose de découvrir leurs activités,1899-12-30 09:30:00,"Journée découverte Arts martiaux, Gym, Danse","Journée découverte Arts martiaux, Gym, Danse --- Issy Sakura Academy vous propose de découvrir leurs activités"
1 bd Rodin 92130 Issy-les-Moulineaux,19/03/2019,La Ville et le club IBKAM vont accueillir la Fédération des Arts Martiaux Traditionnels Vietnamiens.,1899-12-30 19:00:00,Vo Dan Toc,Vo Dan Toc --- La Ville et le club IBKAM vont accueillir la Fédération des Arts Martiaux Traditionnels Vietnamiens.
1 bd Rodin 92130 Issy-les-Moulineaux,20/06/2022,Le club isséen d'arts martiaux ouvre ses créneaux au public.,1899-12-30 17:30:00,Semaine olympique avec Issy Sakura Academy - Issy Terre de Sports,Semaine olympique avec Issy Sakura Academy - Issy Terre de Sports --- Le club isséen d'arts martiaux ouvre ses créneaux au public.
"1 esplanade du Belvédère, 92130 Issy-les-Moulineaux",17/11/2016,Repas de quartier avec apéritif offert.,1899-12-30 18:30:00,Fête d'Automne des villages du Fort et des Hauts d'Issy,Fête d'Automne des villages du Fort et des Hauts d'Issy --- Repas de quartier avec apéritif offert.
"1 esplanade du Belvédère, 92130 Issy-les-Moulineaux",23/02/2017,Apéritif suivi d'un repas de quartier,1899-12-30 19:00:00,Soirée Jurassienne Terroir de France,Soirée Jurassienne Terroir de France --- Apéritif suivi d'un repas de quartier
1 place du spectacle - 92130 Issy-les-Moulineaux,02/05/2020,"C'est sans commentaire, à travers archives, extraits et témoignages, qu'Emmanuel Barnault brosse le portrait de l'acteur italien le plus séduisant de sa génération.",1899-12-30 20:00:00,"""Marcello..."" (52') d'Emmanuel Barnault","""Marcello..."" (52') d'Emmanuel Barnault --- C'est sans commentaire, à travers archives, extraits et témoignages, qu'Emmanuel Barnault brosse le portrait de l'acteur italien le plus séduisant de sa génération."
1 place du spectacle - 92130 Issy-les-Moulineaux,21/01/2018,"Érigeant l’hédonisme en vertu, Vadim a fait de sa vie une fête. Journaliste, scénariste, réalisateur, producteur, acteur, romancier, homme à femmes, père prolifique, il aura exploré tous les possibles",1899-12-30 19:45:00,"""Roger Vadim, Mister Cool"" d'Olivier Niklaus (57')","""Roger Vadim, Mister Cool"" d'Olivier Niklaus (57') --- Érigeant l’hédonisme en vertu, Vadim a fait de sa vie une fête. Journaliste, scénariste, réalisateur, producteur, acteur, romancier, homme à femmes, père prolifique, il aura exploré tous les possibles"
1 place du spectacle - 92130 Issy-les-Moulineaux,25/11/2018,"Durant un demi-siècle, Brialy fut un acteur enchanteur et un génial touche-à-tout. Réunis au château de Monthyon, ses amis proches témoignent sur sa carrière, sa personnalité et son sens de l'amitié.",1899-12-30 12:00:00,"""Jean-Claude Brialy, le goût des autres"" (1h30) d’Henry-Jean Servat et Bruno Bouvier","""Jean-Claude Brialy, le goût des autres"" (1h30) d’Henry-Jean Servat et Bruno Bouvier --- Durant un demi-siècle, Brialy fut un acteur enchanteur et un génial touche-à-tout. Réunis au château de Monthyon, ses amis proches témoignent sur sa carrière, sa personnalité et son sens de l'amitié."
1 place du spectacle - 92130 Issy-les-Moulineaux,26/11/2018,"Dans ce documentaire, Yves Boisset se confie à la journaliste et critique de cinéma Danièle Heymann. Il évoque ses principaux films, dont certains subirent les foudres de la censure..",1899-12-30 22:40:00,"""Yves Boisset - Collection Parole de cinéaste"" (60') de Guy Seligmann","""Yves Boisset - Collection Parole de cinéaste"" (60') de Guy Seligmann --- Dans ce documentaire, Yves Boisset se confie à la journaliste et critique de cinéma Danièle Heymann. Il évoque ses principaux films, dont certains subirent les foudres de la censure.."
1 Place Jacques Madaule,16/10/2019,Un dîner pour soutenir la Ligue contre le cancer.,1899-12-30 19:30:00,Dîner solidaire au Moulin d'Issy dans le cadre d'Octobre Rose,Dîner solidaire au Moulin d'Issy dans le cadre d'Octobre Rose --- Un dîner pour soutenir la Ligue contre le cancer.
"1 rue Foucher Lepelletier, 92130 Issy-les-Moulineaux",01/01/2021,Retrouvez les pharmacies de garde du mois de janvier,1899-12-30 09:00:00,Info pratique | Pharmacie de garde vendredi 1er janvier,Info pratique | Pharmacie de garde vendredi 1er janvier --- Retrouvez les pharmacies de garde du mois de janvier
"1 rue Foucher Lepelletier, 92130 Issy-les-Moulineaux",02/05/2021,Retrouvez les pharmacies de garde du mois de mai,1899-12-30 09:00:00,Info pratique | Pharmacie de garde dimanche 2 mai,Info pratique | Pharmacie de garde dimanche 2 mai --- Retrouvez les pharmacies de garde du mois de mai
"1 rue Foucher Lepelletier, 92130 Issy-les-Moulineaux",08/04/2018,Retrouvez les pharmacies de garde du mois d'avril.,1899-12-30 09:00:00,Pharmacie de garde,Pharmacie de garde --- Retrouvez les pharmacies de garde du mois d'avril.
"1 rue Foucher Lepelletier, 92130 Issy-les-Moulineaux",08/08/2021,Retrouvez les pharmacies de garde du mois d'août,1899-12-30 09:00:00,Info pratique | Pharmacie de garde dimanche 8 août,Info pratique | Pharmacie de garde dimanche 8 août --- Retrouvez les pharmacies de garde du mois d'août
"1 rue Foucher Lepelletier, 92130 Issy-les-Moulineaux",10/03/2019,Retrouvez les pharmacies de garde du mois de mars.,1899-12-30 09:00:00,Pharmacie de garde,Pharmacie de garde --- Retrouvez les pharmacies de garde du mois de mars.
"1 rue Foucher Lepelletier, 92130 Issy-les-Moulineaux",11/11/2018,Retrouvez les pharmacies de garde du mois de novembre.,1899-12-30 09:00:00,Pharmacie de garde.,Pharmacie de garde. --- Retrouvez les pharmacies de garde du mois de novembre.
"1 rue Foucher Lepelletier, 92130 Issy-les-Moulineaux",13/08/2017,Retrouvez les pharmacies de garde du mois d'août.,1899-12-30 09:00:00,Pharmacie de garde,Pharmacie de garde --- Retrouvez les pharmacies de garde du mois d'août.
"1 rue Foucher Lepelletier, 92130 Issy-les-Moulineaux",15/07/2018,Retrouvez les pharmacies de garde du mois de juillet.,1899-12-30 09:00:00,Pharmacie de garde,Pharmacie de garde --- Retrouvez les pharmacies de garde du mois de juillet.
"1 rue Foucher Lepelletier, 92130 Issy-les-Moulineaux",16/04/2017,Retrouvez les pharmacies de garde du mois d'avril.,1899-12-30 09:00:00,Pharmacie de garde,Pharmacie de garde --- Retrouvez les pharmacies de garde du mois d'avril.
